"SEASON","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABB","TEAM_NAME","INDEX","PLAY_TYPE","POSS","FREQ","FREQ_PCTL","PPP","PPP_PCTL","GP","PTS","FGM","FGA","FG_PCT","EFG_PCT","SF_FREQ","FTA_FREQ","AND1_FREQ","TOV_FREQ"
"2023-24",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",2,"Transition",62,0.18,50.8,1.02,28.8,54,63,23,57,0.404,0.535,0.016,0.032,0.016,0.065
"2023-24",204060,"Joe Ingles",1610612753,"ORL","Orlando Magic",2,"Transition",43,0.142,26.1,1.16,58.1,68,50,17,39,0.436,0.641,0,0,0,0.093
"2023-24",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",2,"Transition",69,0.176,47.8,1,24.9,43,69,32,55,0.582,0.582,0.058,0.058,0.014,0.159
"2023-24",1628371,"Jonathan Isaac",1610612753,"ORL","Orlando Magic",2,"Transition",38,0.109,14.3,1.03,32.4,58,39,14,26,0.538,0.538,0.184,0.184,0.026,0.158
"2023-24",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",2,"Transition",51,0.092,8.2,1.2,64.5,55,61,21,43,0.488,0.616,0.118,0.118,0,0.039
"2023-24",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",2,"Transition",57,0.078,4.7,0.95,17.1,80,54,21,45,0.467,0.489,0.123,0.14,0.018,0.088
"2023-24",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",2,"Transition",169,0.172,46.2,0.92,15.7,81,156,54,122,0.443,0.48,0.142,0.166,0.018,0.13
"2023-24",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",2,"Transition",222,0.162,39.6,1.18,61.3,72,262,109,183,0.596,0.623,0.117,0.117,0.045,0.104
"2023-24",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",2,"Transition",224,0.245,89,1.18,61.8,75,265,97,167,0.581,0.65,0.121,0.138,0.027,0.143
"2023-24",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",2,"Transition",300,0.157,36,1.14,52.7,80,342,122,214,0.57,0.617,0.187,0.197,0.037,0.127
"2023-24",1631216,"Caleb Houstan",1610612753,"ORL","Orlando Magic",2,"Transition",47,0.203,67.9,1.13,49.7,60,53,17,45,0.378,0.567,0.021,0.021,0,0.021
"2023-24",1641710,"Anthony Black",1610612753,"ORL","Orlando Magic",2,"Transition",65,0.193,62.4,1.09,40.9,69,71,30,48,0.625,0.667,0.123,0.138,0.062,0.185
"2022-23",203082,"Terrence Ross",1610612753,"ORL","Orlando Magic",2,"Transition",35,0.102,11.3,1.23,71.2,42,43,16,32,0.5,0.672,0,0,0,0.086
"2022-23",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",2,"Transition",71,0.205,75.8,1.37,88.3,48,97,34,65,0.52,0.731,0.028,0.028,0.014,0.07
"2022-23",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",2,"Transition",175,0.199,70.7,1.14,53,60,200,84,140,0.6,0.607,0.091,0.126,0.051,0.126
"2022-23",1628964,"Mo Bamba",1610612753,"ORL","Orlando Magic",2,"Transition",30,0.117,17.1,1.47,94.8,40,44,17,28,0.61,0.75,0.067,0.067,0.033,0.033
"2022-23",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",2,"Transition",76,0.094,8.9,0.99,22.3,57,75,28,65,0.43,0.515,0.066,0.066,0.013,0.092
"2022-23",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",2,"Transition",73,0.135,22.6,1.08,40.6,57,79,29,61,0.48,0.557,0.096,0.096,0.014,0.082
"2022-23",1629626,"Bol Bol",1610612753,"ORL","Orlando Magic",2,"Transition",176,0.276,96.7,1.05,34.9,70,185,76,130,0.58,0.612,0.108,0.114,0.034,0.182
"2022-23",1629643,"Chuma Okeke",1610612753,"ORL","Orlando Magic",2,"Transition",17,0.115,16,0.47,1,28,8,2,14,0.14,0.143,0.118,0.118,0,0.059
"2022-23",1629678,"Admiral Schofield",1610612753,"ORL","Orlando Magic",2,"Transition",17,0.116,16.6,1,24.6,38,17,6,14,0.43,0.5,0.118,0.118,0.059,0.118
"2022-23",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",2,"Transition",147,0.192,64.5,1.1,45.9,60,162,55,107,0.51,0.579,0.143,0.163,0.041,0.15
"2022-23",1630181,"R.J. Hampton",1610612753,"ORL","Orlando Magic",2,"Transition",25,0.167,47,1.28,80.3,26,32,11,19,0.58,0.632,0.24,0.24,0.08,0.08
"2022-23",1630284,"Kevon Harris",1610612753,"ORL","Orlando Magic",2,"Transition",21,0.146,30.8,0.95,18.4,34,20,8,18,0.44,0.472,0.095,0.143,0.095,0.095
"2022-23",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",2,"Transition",234,0.165,45.7,1.33,85,80,312,106,183,0.58,0.678,0.167,0.175,0.03,0.073
"2022-23",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",2,"Transition",132,0.224,83.8,0.98,20.9,53,129,45,99,0.45,0.505,0.152,0.182,0.053,0.121
"2022-23",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",2,"Transition",293,0.188,61.2,1.08,39,72,315,102,192,0.53,0.552,0.259,0.273,0.068,0.13
"2022-23",1631216,"Caleb Houstan",1610612753,"ORL","Orlando Magic",2,"Transition",26,0.125,20,0.54,1.5,51,14,5,25,0.2,0.28,0,0,0,0.038
